"","p_val","log2FoldChange","pct.1","pct.2","padj"
"PIN4",0.426100424899026,0.0288992225781272,0.108,0.096,1
"KPNB1",0.427457117477491,0.0435045287586876,0.136,0.099,1
"FLI1",0.427506260675146,0.0492529260147695,0.141,0.113,1
"PHF1",0.427553073122802,0.0531221875229652,0.15,0.116,1
"CRBN",0.427784363465803,0.0820915136874005,0.268,0.206,1
"MIR142",0.428128909517771,0.0263803509674785,0.113,0.082,1
"SCOC",0.428200132983753,0.0247636485104329,0.108,0.089,1
"RBM23",0.428275731583859,0.0652657438695366,0.175,0.142,1
"CHCHD7",0.42874224780394,0.0609614386465932,0.168,0.121,1
"MRPL22",0.429061035956393,0.0494587299229402,0.141,0.111,1
"MRPL9",0.429606918757651,0.0662505473720656,0.184,0.13,1
"TMEM165",0.430236976579092,0.0568335530239168,0.153,0.126,1
"CUEDC2",0.430392991770559,0.0435045287586876,0.133,0.101,1
"MTHFS",0.431296391764826,0.0353832561483262,0.116,0.099,1
"PTGER4",0.431927393307391,0.042292227202523,0.123,0.114,1
"SECISBP2",0.432549769137973,0.0226442937421714,0.103,0.085,1
"DDX6",0.432936168796267,0.0531221875229652,0.146,0.113,1
"CCDC85B",0.433538107776653,0.161113848736035,0.387,0.304,1
"TLE4",0.433773066784856,0.022579401248557,0.101,0.087,1
"CCT6A",0.434746050359654,0.0692788063761601,0.19,0.138,1
"RAB6A",0.434822602303605,0.0289733366820868,0.106,0.094,1
"GIMAP6",0.435506416966557,0.0390654635921905,0.128,0.096,1
"SUGT1",0.435784657240498,0.0411917647005785,0.125,0.101,1
"NAP1L1",0.435939430610391,0.200798189775701,0.677,0.631,1
"ZAP70",0.437125683359096,0.0728839823860773,0.199,0.148,1
"MAPK1IP1L",0.437436298998062,0.0456308298670755,0.138,0.101,1
"VTI1B",0.437719393857943,0.033135156711145,0.114,0.104,1
"TSNAX",0.437972565176791,0.0309097795690182,0.113,0.089,1
"APOL3",0.438212527585292,0.0410095400871223,0.131,0.094,1
"RPF1",0.438830435311048,0.0555391888622007,0.148,0.116,1
"PARL",0.438903459351962,0.0292720741821796,0.111,0.087,1
